Titles,Artists
rockin' around the christmas tree,brenda lee
all i want for christmas is you,mariah carey
jingle bell rock,bobby helms
last christmas,wham!
a holly jolly christmas,burl ives
it's the most wonderful time of the year,andy williams
"let it snow, let it snow, let it snow!",dean martin
feliz navidad,jose feliciano
lovin on me,jack harlow
sleigh ride,the ronettes
santa tell me,ariana grande
the christmas song (merry christmas to you),"nat ""king"" cole"
underneath the tree,kelly clarkson
white christmas,bing crosby with ken darby singers & john scott trotter & his orchestra
christmas (baby please come home),darlene love
jingle bells,frank sinatra with the orchestra & chorus of gordon jenkins
deck the halls,nat king cole
blue christmas,elvis presley
cruel summer,taylor swift
santa baby,eartha kitt with henri rene and his orchestra
here comes santa claus (right down santa claus lane),gene autry
run rudolph run,chuck berry
it's beginning to look a lot like christmas,michael buble
greedy,tate mcrae
little saint nick,the beach boys
wonderful christmastime,paul mccartney
it's beginning to look a lot like christmas,perry como and the fontane sisters with mitchell ayres and his orchestra
please come home for christmas,eagles
paint the town red,doja cat
santa claus is comin' to town,jackson 5
i remember everything,zach bryan featuring kacey musgraves
water,tyla
"you're a mean one, mr. grinch",thurl ravenscroft
this christmas,donny hathaway
agora hills,doja cat
last night,morgan wallen
mistletoe,justin bieber
happy holiday / the holiday season,andy williams
christmastime is here,vince guaraldi trio
like it's christmas,jonas brothers
have yourself a merry little christmas,michael buble
happy xmas (war is over),john & yoko/the plastic ono band with the harlem community choir
i saw mommy kissing santa claus,jackson 5
thinkin' bout me,morgan wallen
rudolph the red-nosed reindeer,gene autry & the pinafores
merry christmas,ed sheeran & elton john
fast car,luke combs
lose control,teddy swims
is it over now? (taylor's version) [from the vault],taylor swift
(there's no place like) home for the holidays (1954),perry como with mitchell ayers and his orchestra
lil boo thang,paul russell
rich baby daddy,drake featuring sexyy red & sza
ftcu,nicki minaj
stick season,noah kahan
everybody,nicki minaj featuring lil uzi vert
white horse,chris stapleton
first person shooter,drake featuring j. cole
used to be young,miley cyrus
houdini,dua lipa
good good,"usher, summer walker & 21 savage"
world on fire,nate smith
la diabla,xavi
pretty little poison,warren zeiders
on my mama,victoria monet
my love mine all mine,mitski
exes,tate mcrae
surround sound,jid featuring 21 savage & baby tate
monaco,bad bunny
strangers,kenya grace
you broke my heart,drake
get him back!,olivia rodrigo
idgaf,drake featuring yeat
harley quinn,fuerza regida & marshmello
wild ones,jessie murph & jelly roll
bellakeo,peso pluma & anitta
truck bed,hardy
save me the trouble,dan + shay
jingle bells,meghan trainor
la victima,xavi
where the wild things are,luke combs
qlona,karol g & peso pluma
you're losing me (from the vault),taylor swift
500lbs,lil tecca
the painter,cody johnson
never lose me,flo milli
burn it down,parker mccollum
winter wonderland,chloe
segun quien,maluma & carin leon
needle,nicki minaj featuring drake
dj play a christmas song,cher
mind on you,george birge
lace it,"juice wrld, eminem & benny blanco"
hey driver,zach bryan featuring the war and treaty
feather,sabrina carpenter
can't catch me now,olivia rodrigo
el amor de su vida,grupo frontera & grupo firme
standing next to you,jung kook
man made a bar,morgan wallen featuring eric church
que onda,calle 24 x chino pacas x fuerza regida
great gatsby,rod wave
